"sampleID"	"preTrim"	"postTrim"	"mapped"
"179"	"27-09_S268_L005_R1_001"	1724828	1599925	1236607
"180"	"27-12_S270_L005_R1_001"	1576318	1457849	1140195
"181"	"27-14_S277_L005_R1_001"	1645912	1513539	1155180
"182"	"27-15_S254_L005_R1_001"	1892360	1741302	1351089
"183"	"27-19_S297_L005_R1_001"	2389474	2040859	1522783
"184"	"27-22_S293_L005_R1_001"	1454014	1289795	962535
"185"	"27-23_S292_L005_R1_001"	1809847	1589662	1152914
"186"	"27-24_S252_L005_R1_001"	2056769	1882479	1393893
"187"	"27-29_S255_L005_R1_001"	1656190	1526910	1157346
"188"	"27-30_S280_L005_R1_001"	2071316	1832956	1296489
"189"	"27-32_S271_L005_R1_001"	1660699	1520699	1199748
"190"	"27-33_S272_L005_R1_001"	1467050	1339230	1018210
"191"	"27-35_S279_L005_R1_001"	2252110	1930125	1495660
"192"	"27-38_S278_L005_R1_001"	1610146	1480240	1154203
"193"	"27-40_S267_L005_R1_001"	1725524	1585798	1172187
"194"	"27-55_S276_L005_R1_001"	1659633	1519884	1172155
"195"	"28-15_S305_L005_R1_001"	1895107	1673776	1280081
"196"	"28-22_S302_L005_R1_001"	1945504	1753646	1256517
"197"	"28-25_S300_L005_R1_001"	2490974	2237932	1679402
"198"	"28-29_S303_L005_R1_001"	2033955	1834796	1380534
"199"	"28-30_S301_L005_R1_001"	1735987	1566150	1149333
"200"	"28-33_S298_L005_R1_001"	2283671	2056207	1606497
"201"	"28-39_S304_L005_R1_001"	2317229	2037505	1512276
"202"	"28-40_S299_L005_R1_001"	2163558	1929925	1477150
"203"	"29-04_S397_L006_R1_001"	1432103	1333271	1062717
"204"	"29-05_S401_L006_R1_001"	1784621	1692223	1320098
"205"	"29-06_S403_L006_R1_001"	2059327	1916251	1432420
"206"	"29-09_S404_L006_R1_001"	1994599	1854904	1387948
"207"	"29-11_S410_L007_R1_001"	2255036	2042016	1497588
"208"	"29-12_S405_L006_R1_001"	1856281	1759582	1298126
"209"	"29-14_S411_L007_R1_001"	2144962	1892485	1454137
"210"	"29-15_S400_L006_R1_001"	1868240	1734132	1306436
"211"	"29-18_S408_L007_R1_001"	1930991	1729278	1164952
"212"	"29-19_S419_L007_R1_001"	2254495	1950362	1414849
"213"	"29-20_S444_L007_R1_001"	2202820	1912620	1301762
"214"	"29-22_S416_L007_R1_001"	1772021	1616579	1287582
"215"	"29-23_S418_L007_R1_001"	2353191	1997869	1435866
"216"	"29-24_S417_L007_R1_001"	1727758	1407277	1109662
"217"	"29-25_S413_L007_R1_001"	1922698	1720817	1256858
"218"	"29-29_S420_L007_R1_001"	2179446	1912959	1397587
"219"	"29-32_S415_L007_R1_001"	2160127	1978708	1560280
"220"	"29-33_S414_L007_R1_001"	1841868	1676481	1216985
"221"	"29-35_S421_L007_R1_001"	1936201	1755299	1286914
"222"	"29-38_S424_L007_R1_001"	1869578	1645069	1234419
"223"	"29-39_S425_L007_R1_001"	1788029	1504699	1121994
"224"	"29-40_S426_L007_R1_001"	2267579	1898802	1335608
"225"	"29-50_S441_L007_R1_001"	1877378	1715327	1295088
"226"	"29-53_S452_L007_R1_001"	1899257	1722039	1333316
"227"	"29-54_S447_L007_R1_001"	1986093	1832105	1370144
"228"	"29-55_S440_L007_R1_001"	1724557	1579852	1237429
"229"	"30-05_S310_L006_R1_001"	1285020	1184597	874027
"230"	"30-07_S306_L005_R1_001"	2195200	1955941	1505637
"231"	"30-11_S308_L005_R1_001"	1933751	1749140	1316617
"232"	"30-14_S465_L007_R1_001"	1166779	1053933	811095
"233"	"30-15_S319_L006_R1_001"	1841551	1702175	1295190
"234"	"30-18_S311_L006_R1_001"	1891697	1745830	1210182
"235"	"30-20_S317_L006_R1_001"	1625787	1535188	1147834
"236"	"30-25_S309_L005_R1_001"	1818960	1615639	1248083
"237"	"30-50_S312_L006_R1_001"	1661202	1533485	1138774
"238"	"30-53_S307_L005_R1_001"	1998512	1789106	1394411
"239"	"32-01_S327_L006_R1_001"	2181192	2030188	1393061
"240"	"32-05_S320_L006_R1_001"	1534244	1412715	967433
"241"	"32-07_S291_L005_R1_001"	1585496	1403243	1091268
"242"	"32-11_S328_L006_R1_001"	1941778	1789855	1404592
"243"	"32-12_S329_L006_R1_001"	1966450	1813812	1283522
"244"	"32-14_S313_L006_R1_001"	1666399	1569449	1183539
"245"	"32-15_S325_L006_R1_001"	1595925	1485894	1111710
"246"	"32-18_S330_L006_R1_001"	2116870	1904590	1332025
"247"	"32-25_S314_L006_R1_001"	1989762	1870017	1550602
"248"	"32-29_S315_L006_R1_001"	1664869	1546035	1141873
"249"	"32-30_S322_L006_R1_001"	2372539	2137782	1566303
"250"	"32-33_S316_L006_R1_001"	1925266	1785802	1262588
"251"	"32-38_S332_L006_R1_001"	1915469	1749706	1327174
